15.0,38.0,2736.06983672,2.0
82.0,88.0,2883.04937101,2.0
51.0,67.0,4328.89253855,2.0
8.0,44.0,4517.63117951,2.0
53.0,54.0,5260.02670517,2.0
87.0,93.0,5926.88248311,2.0
97.0,99.0,6629.54868411,4.0
48.0,81.0,6631.10079403,2.0
6.0,36.0,7299.02042666,2.0
39.0,58.0,7534.79285492,2.0
26.0,69.0,7597.05583382,2.0
49.0,100.0,7925.64332601,3.0
74.0,102.0,8146.39974089,3.0
34.0,80.0,8446.54398526,2.0
59.0,63.0,8598.71592362,2.0
2.0,32.0,8679.2507532,2.0
75.0,104.0,8805.35506015,3.0
12.0,40.0,8976.1828416,2.0
20.0,95.0,8995.18314383,3.0
42.0,103.0,9220.46489604,3.0
19.0,27.0,9354.56661771,2.0
96.0,101.0,9516.31144232,6.0
21.0,37.0,9657.08444926,2.0
61.0,71.0,9716.91295603,2.0
22.0,105.0,9766.17043307,3.0
35.0,98.0,9809.45831048,3.0
31.0,108.0,10134.5983711,3.0
5.0,14.0,10172.9622496,2.0
79.0,109.0,10308.135106,3.0
65.0,94.0,10382.7693752,2.0
110.0,111.0,10421.2727735,5.0
3.0,84.0,10744.1141273,2.0
70.0,124.0,10746.4205737,3.0
64.0,68.0,10944.6786138,2.0
57.0,66.0,11010.133792,2.0
50.0,60.0,11201.1690884,2.0
89.0,90.0,11309.9112923,2.0
45.0,122.0,11332.1699074,3.0
115.0,119.0,11457.2686033,5.0
62.0,112.0,11481.3983677,3.0
47.0,114.0,11687.0694874,4.0
107.0,116.0,11807.5208326,9.0
77.0,129.0,12400.3129028,3.0
125.0,133.0,12750.2877488,10.0
126.0,134.0,13052.0374449,5.0
106.0,130.0,13210.1013266,5.0
123.0,138.0,13237.1180051,13.0
117.0,132.0,13246.3827739,5.0
113.0,131.0,13377.5188303,5.0
72.0,85.0,13485.3685978,2.0
121.0,139.0,14354.5253738,8.0
30.0,144.0,15276.0060147,3.0
127.0,128.0,15586.0320614,5.0
141.0,145.0,15756.8496494,21.0
137.0,147.0,15930.4793411,8.0
0.0,11.0,16682.71558,2.0
136.0,143.0,16683.9616099,14.0
135.0,140.0,16722.751699,9.0
148.0,149.0,17039.8523653,29.0
17.0,92.0,17143.3912709,2.0
118.0,146.0,17831.3061926,5.0
1.0,33.0,18397.7555185,2.0
142.0,150.0,18456.2021651,7.0
120.0,152.0,19128.6504079,12.0
7.0,78.0,20043.0211288,2.0
151.0,158.0,20629.5274782,26.0
153.0,155.0,21709.9008911,34.0
56.0,159.0,22764.5407915,3.0
29.0,91.0,23795.9414295,2.0
16.0,73.0,23967.6012355,2.0
18.0,43.0,24638.144978,2.0
55.0,160.0,24961.4101634,27.0
156.0,157.0,26424.974563,9.0
13.0,83.0,26616.511023,2.0
28.0,41.0,26686.0184386,2.0
4.0,52.0,27878.1858704,2.0
10.0,165.0,28110.0054589,3.0
76.0,171.0,30401.7310933,4.0
154.0,164.0,31840.1800093,4.0
24.0,25.0,32188.66413,2.0
46.0,170.0,32209.4833794,3.0
161.0,162.0,32261.885939,37.0
9.0,168.0,32882.2145622,3.0
86.0,169.0,34782.3766463,3.0
166.0,167.0,34890.8104836,36.0
23.0,175.0,36928.5425888,4.0
172.0,173.0,41416.7668416,8.0
174.0,177.0,44099.0133371,5.0
180.0,182.0,46566.0612569,9.0
163.0,179.0,49523.6943624,38.0
178.0,183.0,50361.8244031,12.0
176.0,181.0,63139.8489062,45.0
184.0,186.0,76297.7068639,83.0
185.0,187.0,105384.757598,95.0
